id,label,subTypeOf,preprocessed_label
https://schema.org/Accommodation,Accommodation,https://schema.org/Place,accommodation
https://schema.org/AdministrativeArea,AdministrativeArea,https://schema.org/Place,administrative area
https://schema.org/BuddhistTemple,BuddhistTemple,https://schema.org/PlaceOfWorship,buddhist temple
https://schema.org/Church,Church,https://schema.org/PlaceOfWorship,church
https://schema.org/CivicStructure,CivicStructure,https://schema.org/Place,civic structure
https://schema.org/HinduTemple,HinduTemple,https://schema.org/PlaceOfWorship,hindu temple
https://schema.org/Landform,Landform,https://schema.org/Place,landform
https://schema.org/LandmarksOrHistoricalBuildings,LandmarksOrHistoricalBuildings,https://schema.org/Place,landmarks or historical buildings
https://schema.org/LocalBusiness,LocalBusiness,"https://schema.org/Organization, https://schema.org/Place",local business
https://schema.org/Mosque,Mosque,https://schema.org/PlaceOfWorship,mosque
https://schema.org/Residence,Residence,https://schema.org/Place,residence
https://schema.org/Synagogue,Synagogue,https://schema.org/PlaceOfWorship,synagogue
https://schema.org/TouristAttraction,TouristAttraction,https://schema.org/Place,tourist attraction
https://schema.org/TouristDestination,TouristDestination,https://schema.org/Place,tourist destination
https://schema.org/Airport,Airport,https://schema.org/CivicStructure,airport
https://schema.org/AnimalShelter,AnimalShelter,https://schema.org/LocalBusiness,animal shelter
https://schema.org/Apartment,Apartment,https://schema.org/Accommodation,apartment
https://schema.org/ApartmentComplex,ApartmentComplex,https://schema.org/Residence,apartment complex
https://schema.org/Aquarium,Aquarium,https://schema.org/CivicStructure,aquarium
https://schema.org/ArchiveOrganization,ArchiveOrganization,https://schema.org/LocalBusiness,archive organization
https://schema.org/AutomotiveBusiness,AutomotiveBusiness,https://schema.org/LocalBusiness,automotive business
https://schema.org/Beach,Beach,https://schema.org/CivicStructure,beach
https://schema.org/BoatTerminal,BoatTerminal,https://schema.org/CivicStructure,boat terminal
https://schema.org/BodyOfWater,BodyOfWater,https://schema.org/Landform,body of water
https://schema.org/Bridge,Bridge,https://schema.org/CivicStructure,bridge
https://schema.org/BusStation,BusStation,https://schema.org/CivicStructure,bus station
https://schema.org/BusStop,BusStop,https://schema.org/CivicStructure,bus stop
https://schema.org/Campground,Campground,"https://schema.org/CivicStructure, https://schema.org/LodgingBusiness",campground
https://schema.org/CampingPitch,CampingPitch,https://schema.org/Accommodation,camping pitch
https://schema.org/CatholicChurch,CatholicChurch,https://schema.org/Church,catholic church
https://schema.org/Cemetery,Cemetery,https://schema.org/CivicStructure,cemetery
https://schema.org/ChildCare,ChildCare,https://schema.org/LocalBusiness,child care
https://schema.org/City,City,https://schema.org/AdministrativeArea,city
https://schema.org/Continent,Continent,https://schema.org/Landform,continent
https://schema.org/Country,Country,https://schema.org/AdministrativeArea,country
https://schema.org/Crematorium,Crematorium,https://schema.org/CivicStructure,crematorium
https://schema.org/Dentist,Dentist,"https://schema.org/LocalBusiness, https://schema.org/MedicalBusiness, https://schema.org/MedicalOrganization",dentist
https://schema.org/DryCleaningOrLaundry,DryCleaningOrLaundry,https://schema.org/LocalBusiness,dry cleaning or laundry
https://schema.org/EducationalOrganization,EducationalOrganization,"https://schema.org/CivicStructure, https://schema.org/Organization",educational organization
https://schema.org/EmergencyService,EmergencyService,https://schema.org/LocalBusiness,emergency service
https://schema.org/EmploymentAgency,EmploymentAgency,https://schema.org/LocalBusiness,employment agency
https://schema.org/EntertainmentBusiness,EntertainmentBusiness,https://schema.org/LocalBusiness,entertainment business
https://schema.org/EventVenue,EventVenue,https://schema.org/CivicStructure,event venue
https://schema.org/FinancialService,FinancialService,https://schema.org/LocalBusiness,financial service
https://schema.org/FireStation,FireStation,"https://schema.org/CivicStructure, https://schema.org/EmergencyService",fire station
https://schema.org/FoodEstablishment,FoodEstablishment,https://schema.org/LocalBusiness,food establishment
https://schema.org/GatedResidenceCommunity,GatedResidenceCommunity,https://schema.org/Residence,gated residence community
https://schema.org/GovernmentBuilding,GovernmentBuilding,https://schema.org/CivicStructure,government building
https://schema.org/GovernmentOffice,GovernmentOffice,https://schema.org/LocalBusiness,government office
https://schema.org/HealthAndBeautyBusiness,HealthAndBeautyBusiness,https://schema.org/LocalBusiness,health and beauty business
https://schema.org/HomeAndConstructionBusiness,HomeAndConstructionBusiness,https://schema.org/LocalBusiness,home and construction business
https://schema.org/Hospital,Hospital,"https://schema.org/CivicStructure, https://schema.org/EmergencyService, https://schema.org/MedicalOrganization",hospital
https://schema.org/House,House,https://schema.org/Accommodation,house
https://schema.org/InternetCafe,InternetCafe,https://schema.org/LocalBusiness,internet cafe
https://schema.org/LegalService,LegalService,https://schema.org/LocalBusiness,legal service
https://schema.org/Library,Library,https://schema.org/LocalBusiness,library
https://schema.org/LodgingBusiness,LodgingBusiness,https://schema.org/LocalBusiness,lodging business
https://schema.org/MedicalBusiness,MedicalBusiness,https://schema.org/LocalBusiness,medical business
https://schema.org/Mountain,Mountain,https://schema.org/Landform,mountain
https://schema.org/MovieTheater,MovieTheater,"https://schema.org/CivicStructure, https://schema.org/EntertainmentBusiness",movie theater
https://schema.org/Museum,Museum,https://schema.org/CivicStructure,museum
https://schema.org/MusicVenue,MusicVenue,https://schema.org/CivicStructure,music venue
https://schema.org/Park,Park,https://schema.org/CivicStructure,park
https://schema.org/ParkingFacility,ParkingFacility,https://schema.org/CivicStructure,parking facility
https://schema.org/PerformingArtsTheater,PerformingArtsTheater,https://schema.org/CivicStructure,performing arts theater
https://schema.org/PlaceOfWorship,PlaceOfWorship,https://schema.org/CivicStructure,place of worship
https://schema.org/Playground,Playground,https://schema.org/CivicStructure,playground
https://schema.org/PoliceStation,PoliceStation,"https://schema.org/CivicStructure, https://schema.org/EmergencyService",police station
https://schema.org/ProfessionalService,ProfessionalService,https://schema.org/LocalBusiness,professional service
https://schema.org/PublicToilet,PublicToilet,https://schema.org/CivicStructure,public toilet
https://schema.org/RVPark,RVPark,https://schema.org/CivicStructure,rv park
https://schema.org/RadioStation,RadioStation,https://schema.org/LocalBusiness,radio station
https://schema.org/RealEstateAgent,RealEstateAgent,https://schema.org/LocalBusiness,real estate agent
https://schema.org/RecyclingCenter,RecyclingCenter,https://schema.org/LocalBusiness,recycling center
https://schema.org/Room,Room,https://schema.org/Accommodation,room
https://schema.org/SchoolDistrict,SchoolDistrict,https://schema.org/AdministrativeArea,school district
https://schema.org/SelfStorage,SelfStorage,https://schema.org/LocalBusiness,self storage
https://schema.org/ShoppingCenter,ShoppingCenter,https://schema.org/LocalBusiness,shopping center
https://schema.org/SportsActivityLocation,SportsActivityLocation,https://schema.org/LocalBusiness,sports activity location
https://schema.org/StadiumOrArena,StadiumOrArena,"https://schema.org/CivicStructure, https://schema.org/SportsActivityLocation",stadium or arena
https://schema.org/State,State,https://schema.org/AdministrativeArea,state
https://schema.org/Store,Store,https://schema.org/LocalBusiness,store
https://schema.org/SubwayStation,SubwayStation,https://schema.org/CivicStructure,subway station
https://schema.org/Suite,Suite,https://schema.org/Accommodation,suite
https://schema.org/TaxiStand,TaxiStand,https://schema.org/CivicStructure,taxi stand
https://schema.org/TelevisionStation,TelevisionStation,https://schema.org/LocalBusiness,television station
https://schema.org/TouristInformationCenter,TouristInformationCenter,https://schema.org/LocalBusiness,tourist information center
https://schema.org/TrainStation,TrainStation,https://schema.org/CivicStructure,train station
https://schema.org/TravelAgency,TravelAgency,https://schema.org/LocalBusiness,travel agency
https://schema.org/Volcano,Volcano,https://schema.org/Landform,volcano
