id,label,comment,subTypeOf,enumerationtype,equivalentClass,properties,subTypes,supersedes,supersededBy,isPartOf,label_space
https://schema.org/Accommodation,Accommodation,"An accommodation is a place that can accommodate human beings, e.g. a hotel room, a camping pitch, or a meeting room. Many accommodations are for overnight stays, but this is not a mandatory requirement.
For more specific types of accommodations not defined in schema.org, one can use additionalType with external vocabularies.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.",https://schema.org/Place,,,"https://schema.org/accommodationCategory, https://schema.org/accommodationFloorPlan, https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/floorLevel, https://schema.org/floorSize, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/leaseLength, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/numberOfBathroomsTotal, https://schema.org/numberOfBedrooms, https://schema.org/numberOfFullBathrooms, https://schema.org/numberOfPartialBathrooms, https://schema.org/numberOfRooms, https://schema.org/openingHoursSpecification, https://schema.org/permittedUsage, https://schema.org/petsAllowed, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/url, https://schema.org/yearBuilt","https://schema.org/Apartment, https://schema.org/CampingPitch, https://schema.org/House, https://schema.org/Room, https://schema.org/Suite",,,,accommodation
https://schema.org/AdministrativeArea,AdministrativeArea,"A geographical region, typically under the jurisdiction of a particular government.",https://schema.org/Place,,,"https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/openingHoursSpecification, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/url","https://schema.org/City, https://schema.org/Country, https://schema.org/SchoolDistrict, https://schema.org/State",,,,administrative area
https://schema.org/CivicStructure,CivicStructure,"A public structure, such as a town hall or concert hall.",https://schema.org/Place,,,"https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/openingHours, https://schema.org/openingHoursSpecification, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/url","https://schema.org/Airport, https://schema.org/Aquarium, https://schema.org/Beach, https://schema.org/BoatTerminal, https://schema.org/Bridge, https://schema.org/BusStation, https://schema.org/BusStop, https://schema.org/Campground, https://schema.org/Cemetery, https://schema.org/Crematorium, https://schema.org/EducationalOrganization, https://schema.org/EventVenue, https://schema.org/FireStation, https://schema.org/GovernmentBuilding, https://schema.org/Hospital, https://schema.org/MovieTheater, https://schema.org/Museum, https://schema.org/MusicVenue, https://schema.org/Park, https://schema.org/ParkingFacility, https://schema.org/PerformingArtsTheater, https://schema.org/PlaceOfWorship, https://schema.org/Playground, https://schema.org/PoliceStation, https://schema.org/PublicToilet, https://schema.org/RVPark, https://schema.org/StadiumOrArena, https://schema.org/SubwayStation, https://schema.org/TaxiStand, https://schema.org/TrainStation, https://schema.org/Zoo",,,,civic structure
https://schema.org/Landform,Landform,"A landform or physical feature.  Landform elements include mountains, plains, lakes, rivers, seascape and oceanic waterbody interface features such as bays, peninsulas, seas and so forth, including sub-aqueous terrain features such as submersed mountain ranges, volcanoes, and the great ocean basins.",https://schema.org/Place,,,"https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/openingHoursSpecification, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/url","https://schema.org/BodyOfWater, https://schema.org/Continent, https://schema.org/Mountain, https://schema.org/Volcano",,,,landform
https://schema.org/LandmarksOrHistoricalBuildings,LandmarksOrHistoricalBuildings,An historical landmark or building.,https://schema.org/Place,,,"https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/openingHoursSpecification, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/url",,,,,landmarks or historical buildings
https://schema.org/Residence,Residence,The place where a person lives.,https://schema.org/Place,,,"https://schema.org/accommodationFloorPlan, https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/openingHoursSpecification, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/url","https://schema.org/ApartmentComplex, https://schema.org/GatedResidenceCommunity",,,,residence
https://schema.org/TouristAttraction,TouristAttraction,"A tourist attraction.  In principle any Thing can be a <a class=""localLink"" href=""/TouristAttraction"">TouristAttraction</a>, from a <a class=""localLink"" href=""/Mountain"">Mountain</a> and <a class=""localLink"" href=""/LandmarksOrHistoricalBuildings"">LandmarksOrHistoricalBuildings</a> to a <a class=""localLink"" href=""/LocalBusiness"">LocalBusiness</a>.  This Type can be used on its own to describe a general <a class=""localLink"" href=""/TouristAttraction"">TouristAttraction</a>, or be used as an <a class=""localLink"" href=""/additionalType"">additionalType</a> to add tourist attraction properties to any other type.  (See examples below)",https://schema.org/Place,,,"https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/availableLanguage, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/openingHoursSpecification, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/touristType, https://schema.org/url",,,,,tourist attraction
https://schema.org/TouristDestination,TouristDestination,"A tourist destination. In principle any <a class=""localLink"" href=""/Place"">Place</a> can be a <a class=""localLink"" href=""/TouristDestination"">TouristDestination</a> from a <a class=""localLink"" href=""/City"">City</a>, Region or <a class=""localLink"" href=""/Country"">Country</a> to an <a class=""localLink"" href=""/AmusementPark"">AmusementPark</a> or <a class=""localLink"" href=""/Hotel"">Hotel</a>. This Type can be used on its own to describe a general <a class=""localLink"" href=""/TouristDestination"">TouristDestination</a>, or be used as an <a class=""localLink"" href=""/additionalType"">additionalType</a> to add tourist relevant properties to any other <a class=""localLink"" href=""/Place"">Place</a>.  A <a class=""localLink"" href=""/TouristDestination"">TouristDestination</a> is defined as a <a class=""localLink"" href=""/Place"">Place</a> that contains, or is colocated with, one or more <a class=""localLink"" href=""/TouristAttraction"">TouristAttraction</a>s, often linked by a similar theme or interest to a particular <a class=""localLink"" href=""/touristType"">touristType</a>. The <a href=""http://www2.unwto.org/"">UNWTO</a> defines Destination (main destination of a tourism trip) as the place visited that is central to the decision to take the trip.
  (See examples below).",https://schema.org/Place,,,"https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/includesAttraction, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/openingHoursSpecification, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/touristType, https://schema.org/url",,,,,tourist destination
https://schema.org/Airport,Airport,An airport.,https://schema.org/CivicStructure,,,"https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/iataCode, https://schema.org/icaoCode, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/openingHours, https://schema.org/openingHoursSpecification, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/url",,,,,airport
https://schema.org/Apartment,Apartment,"An apartment (in American English) or flat (in British English) is a self-contained housing unit (a type of residential real estate) that occupies only part of a building (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Apartment"">http://en.wikipedia.org/wiki/Apartment</a>).",https://schema.org/Accommodation,,,"https://schema.org/accommodationCategory, https://schema.org/accommodationFloorPlan, https://schema.org/additionalProperty, https://schema.org/additionalType, https://schema.org/address, https://schema.org/aggregateRating, https://schema.org/alternateName, https://schema.org/amenityFeature, https://schema.org/branchCode, https://schema.org/containedIn, https://schema.org/containedInPlace, https://schema.org/containsPlace, https://schema.org/description, https://schema.org/disambiguatingDescription, https://schema.org/event, https://schema.org/events, https://schema.org/faxNumber, https://schema.org/floorLevel, https://schema.org/floorSize, https://schema.org/geo, https://schema.org/geoContains, https://schema.org/geoCoveredBy, https://schema.org/geoCovers, https://schema.org/geoCrosses, https://schema.org/geoDisjoint, https://schema.org/geoEquals, https://schema.org/geoIntersects, https://schema.org/geoOverlaps, https://schema.org/geoTouches, https://schema.org/geoWithin, https://schema.org/globalLocationNumber, https://schema.org/hasDriveThroughService, https://schema.org/hasMap, https://schema.org/identifier, https://schema.org/image, https://schema.org/isAccessibleForFree, https://schema.org/isicV4, https://schema.org/latitude, https://schema.org/leaseLength, https://schema.org/logo, https://schema.org/longitude, https://schema.org/mainEntityOfPage, https://schema.org/map, https://schema.org/maps, https://schema.org/maximumAttendeeCapacity, https://schema.org/name, https://schema.org/numberOfBathroomsTotal, https://schema.org/numberOfBedrooms, https://schema.org/numberOfFullBathrooms, https://schema.org/numberOfPartialBathrooms, https://schema.org/numberOfRooms, https://schema.org/occupancy, https://schema.org/openingHoursSpecification, https://schema.org/permittedUsage, https://schema.org/petsAllowed, https://schema.org/photo, https://schema.org/photos, https://schema.org/potentialAction, https://schema.org/publicAccess, https://schema.org/review, https://schema.org/reviews, https://schema.org/sameAs, https://schema.org/slogan, https://schema.org/smokingAllowed, https://schema.org/specialOpeningHoursSpecification, https://schema.org/subjectOf, https://schema.org/telephone, https://schema.org/tourBookingPage, https://schema.org/url, https://schema.org/yearBuilt",,,,,apartment
